SociÇtÇ/Company;CodeISIN/ISINCode;MarchÇ/Market;Compartiment/Compartment;Pays d'incorporation/Country of Incorporation
2CRSI;FR0013341781;Euronext Growth Paris;Euronext Growth;France
5TH PLANET GAMES;DK0060945467;Oslo Bors;Compartment C;Denmark
74SOFTWARE;FR0011040500;Euronext Paris;Compartment B;France
A.B.P. NOCIVELLI;IT0005439861;Euronext Growth Milan;Euronext Growth;Italy
AASEN SPAREBANK;NO0010672181;Euronext Growth Oslo;Euronext Growth;Norway
AATECH;IT0005548521;Euronext Growth Milan;Euronext Growth;Italy
AB SCIENCE;FR0010557264;Euronext Paris;Compartment B;France
ABC ARBITRAGE;FR0004040608;Euronext Paris;Compartment B;France
ABC COMPANY;IT0005466294;Euronext Growth Milan;Euronext Growth;Italy
ABEO;FR0013185857;Euronext Paris;Compartment C;France
ABG SUNDAL COLLIER HOLDING;NO0003021909;Oslo Bors;Compartment B;Norway
ABIONYX PHARMA;FR0012616852;Euronext Paris;Compartment C;France
ABITARE IN;IT0005445280;Euronext Milan;Compartment C;Italy
ABIVAX;FR0012333284;Euronext Paris;Compartment B;France
ABL Diagnostics;FR001400AHX6;Euronext Paris;Compartment B;France
ABO GROUP ENVIRONMENT;BE0974278104;Euronext Brussels;Compartment C;Belgium
ACCENTIS;BE0003696102;Euronext Brussels;Compartment C;Belgium
ACE DIGITAL AS;NO0013531616;Euronext Growth Oslo;Euronext Growth;Norway
Acheter-Louer.fr;FR0014011O84;Euronext Growth Paris;Euronext Growth;France
ACINQUE;IT0001382024;Euronext Milan;Compartment B;Italy
ACOMO N.V.;NL0000313286;Euronext Amsterdam;Compartment B;Netherlands
ACQUAZZURRA;IT0005443061;Euronext Growth Milan;Euronext Growth;Italy
ACTEOS;FR0000076861;Euronext Paris;Compartment C;France
ACTIA GROUP S.A.;FR0000076655;Euronext Growth Paris;Euronext Growth;France
ACTIVIUM GROUP;FR0010979377;Euronext Access Paris;Euronext Access;France
ADEC INNOVATIONS;NL0015002K91;Euronext Access Brussels;Euronext Access;Netherlands
ADEUNIS;FR0013284627;Euronext Growth Paris;Euronext Growth;France
ADOCIA;FR0011184241;Euronext Paris;Compartment C;France
ADOMOS;FR00140153H3;Euronext Growth Paris;Euronext Growth;France
ADS MARITIME HOLDING PLC;CY0108052115;Euronext Growth Oslo;Euronext Growth;Cyprus
ADUX;FR0012821890;Euronext Growth Paris;Euronext Growth;France
ADVENTURE;IT0005607715;Euronext Growth Milan;Euronext Growth;Italy
ADVICENNE;FR0013296746;Euronext Growth Paris;Euronext Growth;France
ADVINI;FR0000053043;Euronext Growth Paris;Euronext Growth;France
AEDES;IT0005708174;Euronext Milan;Compartment C;Italy
AEFFE;IT0001384590;Euronext Milan;Compartment C;Italy
AELIS FARMA;FR0014007ZB4;Euronext Paris;Compartment B;France
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA;IT0001006128;Euronext Milan;Compartment B;Italy
AF GRUPPEN;NO0003078107;Oslo Bors;Compartment A;Norway
AFYREN;FR0014005AC9;Euronext Growth Paris;Euronext Growth;France
AG3I;FR0011908045;Euronext Access Paris;Euronext Access;France
AGFA-GEVAERT;BE0003755692;Euronext Brussels;Compartment B;Belgium
AGILYX ASA;NO0010872468;Oslo Bors;Compartment B;Norway
AGRIPOWER;FR0013452281;Euronext Growth Paris;Euronext Growth;France
AgroGeneration;FR0010641449;Euronext Growth Paris;Euronext Growth;France
AJAX;NL0000018034;Euronext Amsterdam;Compartment B;Netherlands
AKASTOR;NO0010215684;Oslo Bors;Compartment B;Norway
AKER BIOMARINE ASA;NO0010886625;Oslo Bors;Compartment B;Norway
AKER SOLUTIONS;NO0010716582;Oslo Bors;Compartment A;Norway
AKOBO MINERALS AB (PUB);SE0015193412;Euronext Growth Oslo;Euronext Growth;Sweden
AKVA GROUP;NO0003097503;Oslo Bors;Compartment B;Norway
AKWEL;FR0000053027;Euronext Paris;Compartment B;France
ALAN ALLMAN ASSOCIATES;FR0000062465;Euronext Paris;Compartment B;France
ALERION;IT0004720733;Euronext Milan;Compartment A;Italy
ALFEN;NL0012817175;Euronext Amsterdam;Compartment B;Netherlands
ALFIO BARDOLLA;IT0005244030;Euronext Growth Milan;Euronext Growth;Italy
ALFONSINO;IT0005466039;Euronext Growth Milan;Euronext Growth;Italy
ALIA MENTIS;IT0005717241;Euronext Growth Milan;Euronext Growth;Italy
ALLCORE;IT0005461303;Euronext Growth Milan;Euronext Growth;Italy
Almunda Professional N.V.;NL0010696704;Euronext Amsterdam;Compartment C;Netherlands
ALNG ASA;NO0010607971;Oslo Bors;Compartment C;Norway
ALPES (COMPAGNIE);FR0000053324;Euronext Paris;Compartment B;France
ALTAMIR;FR0000053837;Euronext Paris;Compartment B;France
ALTAREIT;FR0000039216;Euronext Paris;Compartment B;France
ALTEA GREEN POWER;IT0005472730;Euronext Milan;Compartment C;Italy
ALTHEORA;FR0000061244;Euronext Growth Paris;Euronext Growth;France
ALTRI SGPS;PTALT0AE0002;Euronext Lisbon;Compartment B;Portugal
ALUMEXX N.V.;NL0012194724;Euronext Amsterdam;Compartment C;Netherlands
ALVEEN;FR0013253812;Euronext Access Paris;Euronext Access;France
AMATHEON AGRI HOLDING N.V.;NL0010273694;Euronext Access Paris;Euronext Access;Netherlands
AMBROMOBILIARE;IT0004779515;Euronext Growth Milan;Euronext Growth;Italy
AMG Critical Materials N.V.;NL0000888691;Euronext Amsterdam;Compartment B;Netherlands
AMOEBA;FR0011051598;Euronext Growth Paris;Euronext Growth;France
ANDFJORD SALMON GROUP AS;NO0010829765;Euronext Growth Oslo;Euronext Growth;Norway
ANDINO INVERSIONES GLOBAL, S.A.;ES0105744009;Euronext Access Paris;Euronext Access;Spain
ANIMA HOLDING;IT0004998065;Euronext Milan;Compartment A;Italy
ANTIN INFRA PARTN;FR0014005AL0;Euronext Paris;Compartment A;France
APERAM;LU0569974404;Euronext Amsterdam;Compartment A;Luxembourg
APPEAR ASA;NO0013683821;Oslo Bors;Compartment B;Norway
AQUA BIO TECHNOLOGY;NO0013735894;Oslo Bors;Compartment C;Norway
AQUAFIL;IT0005241192;Euronext Milan;Compartment C;Italy
AQUALIS ASA;NO0010715394;Oslo Bors;Compartment C;Norway
AQUILA;FR0010340711;Euronext Growth Paris;Euronext Growth;France
ARAMIS GROUP;FR0014003U94;Euronext Paris;Compartment B;France
ARCHOS;FR001400KO61;Euronext Growth Paris;Euronext Growth;France
ARCTIC BIOSCIENCE AS;NO0010859580;Euronext Growth Oslo;Euronext Growth;Norway
ARCTIC FISH HOLDING AS;NO0010917719;Euronext Growth Oslo;Euronext Growth;Norway
ARCTICZYMES TECHNOLOGIES;NO0010014632;Oslo Bors;Compartment B;Norway
ARCURE;FR0013398997;Euronext Growth Paris;Euronext Growth;France
ARDOIN ST AMAND A;FR0005057635;Euronext Access Paris;Euronext Access;France
ARENDALS FOSSEKOMPANI;NO0003572802;Oslo Bors;Compartment B;Norway
ARISTON HOLDING;NL0015000N33;Euronext Milan;Compartment B;Netherlands
ARRIBATEC GROUP ASA;NO0013682948;Oslo Bors;Compartment C;Norway
ARTEA;FR0012185536;Euronext Paris;Compartment C;France
ARTERRA BIOSCIENCE;IT0005386369;Euronext Growth Milan;Euronext Growth;Italy
ARTMARKET.COM(EX ARTPRICE.COM);FR0000074783;Euronext Paris;Compartment C;France
ARTOIS NOM.;FR0000076952;Euronext Paris;Compartment A;France
ARVERNE GROUP;FR001400JWR8;Euronext Paris;Compartment B;France
ASCOPIAVE;IT0004093263;Euronext Milan;Compartment B;Italy
ASHLER ET MANSON;FR0012968485;Euronext Access Paris;Euronext Access;France
ASSYSTEM;FR0000074148;Euronext Paris;Compartment B;France
ATARI S.A.;FR00140173Y6;Euronext Growth Paris;Euronext Growth;France
ATEA;NO0004822503;Oslo Bors;Compartment A;Norway
ATEME;FR0011992700;Euronext Paris;Compartment C;France
ATENOR;BE0003837540;Euronext Brussels;Compartment B;Belgium
ATLANTIC SAPPHIRE;NO0013464750;Oslo Bors;Compartment C;Norway
ATON;FR0004153930;Euronext Growth Paris;Euronext Growth;France
ATON GREEN STORAGE;IT0005449464;Euronext Growth Milan;Euronext Growth;Italy
ATOS GROUP;FR001400X2S4;Euronext Paris;Compartment B;France
AUBAY;FR0000063737;Euronext Paris;Compartment B;France
AUDACIA;FR00140059B5;Euronext Growth Paris;Euronext Growth;France
AUGROS COSMETICS;FR0000061780;Euronext Paris;Compartment C;France
AUREA;FR0000039232;Euronext Paris;Compartment C;France
AURSKOG SPAREBANK;NO0006001601;Oslo Bors;Compartment C;Norway
AUSTEVOLL SEAFOOD;NO0010073489;Oslo Bors;Compartment A;Norway
AUTOSTRADE MERID;IT0000084043;Euronext Milan;Compartment C;Italy
AVANTIUM;NL0015002IE0;Euronext Amsterdam;Compartment B;Netherlands
AVENIR TELECOM;FR001400CFI7;Euronext Paris;Compartment C;France
AVIO;IT0005119810;Euronext Milan;Compartment B;Italy
AXACTOR ASA;NO0010840515;Oslo Bors;Compartment C;Norway
AYFIE INTERNATIONAL AS;NO0012861683;Euronext Growth Oslo;Euronext Growth;Norway
AZ LEASING;IT0004812258;Euronext Access Paris;Euronext Access;Italy
AZERION;NL00150006Z9;Euronext Amsterdam;Compartment B;Netherlands
AZOREAN AQUATIC TECHNOLOGIES SA;PTAZR0AM0006;Euronext Access Paris;Euronext Access;Portugal
B&C SPEAKERS;IT0001268561;Euronext Milan;Compartment B;Italy
B.F.;IT0005187460;Euronext Milan;Compartment B;Italy
B2 Impact ASA;NO0010633951;Oslo Bors;Compartment B;Norway
BAIKOWSKI;FR0013384369;Euronext Growth Paris;Euronext Growth;France
BALTIC SEA PROPERTIES;NO0010810476;Euronext Growth Oslo;Euronext Growth;Norway
BANCA IFIS;IT0003188064;Euronext Milan;Compartment B;Italy
BANCA SISTEMA;IT0003173629;Euronext Milan;Compartment C;Italy
BANIMMO A;BE0003870871;Euronext Brussels;Compartment C;Belgium
BANQUP GROUP;BE0974371032;Euronext Brussels;Compartment C;Belgium
BARBARA BUI;FR0000062788;Euronext Paris;Compartment C;France
BARCO;BE0974362940;Euronext Brussels;Compartment A;Belgium
BASIC-FIT;NL0011872650;Euronext Amsterdam;Compartment A;Netherlands
BASICNET;IT0001033700;Euronext Milan;Compartment B;Italy
BASSAC;FR0004023208;Euronext Paris;Compartment B;France
BASTIDE LE CONFORT;FR0000035370;Euronext Paris;Compartment B;France
BASTOGI SPA;IT0004412497;Euronext Milan;Compartment C;Italy
BCA PROFILO;IT0001073045;Euronext Milan;Compartment C;Italy
BCO DESIO BRIANZA;IT0001041000;Euronext Milan;Compartment B;Italy
BEEWIZE;IT0001487047;Euronext Milan;Compartment C;Italy
BEKAERT;BE0974258874;Euronext Brussels;Compartment A;Belgium
BELLINI NAUTICA;IT0005497042;Euronext Growth Milan;Euronext Growth;Italy
BELYSSE GROUP NV;BE0974314461;Euronext Brussels;Compartment C;Belgium
BENETEAU;FR0000035164;Euronext Paris;Compartment B;France
Benfica SAD;PTSLB0AM0010;Euronext Lisbon;Compartment C;Portugal
BERGEN CARBON SOLUTIONS AS;NO0010950249;Euronext Growth Oslo;Euronext Growth;Norway
BERNARD LOISEAU;FR0000066961;Euronext Growth Paris;Euronext Growth;France
BESTBE HOLDING;IT0005611642;Euronext Milan;Compartment C;Italy
BEVER HOLDING Gewone aandelen;NL0000285278;Euronext Amsterdam;Compartment C;Netherlands
BEVEST ASA;NO0013711721;Oslo Bors;Compartment C;Norway
BEWI;NO0010890965;Oslo Bors;Compartment B;Norway
BFF BANK;IT0005244402;Euronext Milan;Compartment A;Italy
BIEN SPAREBANK ASA;NO0012706763;Oslo Bors;Compartment C;Norway
BIESSE;IT0003097257;Euronext Milan;Compartment B;Italy
BIGBEN INTERACTIVE;FR0000074072;Euronext Paris;Compartment C;France
BILENDI;FR0004174233;Euronext Growth Paris;Euronext Growth;France
BIOPHYTIS;FR001400OLP5;Euronext Growth Paris;Euronext Growth;France
BIOSENIC;BE0974280126;Euronext Brussels;Compartment C;Belgium
BIOSYNEX;FR0011005933;Euronext Growth Paris;Euronext Growth;France
BIOTALYS NV;BE0974386188;Euronext Brussels;Compartment C;Belgium
BIO-UV GROUP;FR0013345493;Euronext Growth Paris;Euronext Growth;France
BLACK SEA PROPERTY;NO0013685750;Euronext Growth Oslo;Euronext Growth;Norway
BLUE SHARK POWER;FR0013340973;Euronext Access Paris;Euronext Access;France
BLUELINEA;FR0011041011;Euronext Growth Paris;Euronext Growth;France
BLUENORD ASA;NO0010379266;Oslo Bors;Compartment A;Norway
BOA CONCEPT;FR0011365907;Euronext Growth Paris;Euronext Growth;France
BODY ONE;FR0010106039;Euronext Access Paris;Euronext Access;France
BOHUS ASA;NO0013753343 ;Oslo Bors;Compartment B;Norway
BOIRON;FR0000061129;Euronext Paris;Compartment B;France
BOLOGNAFIERE;IT0003516066;Euronext Growth Milan;Euronext Growth;Italy
BONDUELLE;FR0000063935;Euronext Paris;Compartment B;France
BONHEUR;NO0003110603;Oslo Bors;Compartment B;Norway
BONYF;BE6333353298;Euronext Access Paris;Euronext Access;Belgium
BOOSTHEAT;FR00140153G5 ;Euronext Growth Paris;Euronext Growth;France
